TIME,CPI,GDP,UR,IR,LR10,LR10-IR,EXRATE
1998-Q1,1.232687,3.788999,10.5,,,,
1998-Q2,1.481686,2.904354,10.73333,,,,
1998-Q3,1.261294,2.729972,10.56667,,,,
1998-Q4,0.932742,1.836837,10.4,,,,
1999-Q1,0.9029963,2.164858,10.13333,3,3.97333333333,0.973333333333,0.8907363420427553
1999-Q2,1.015689,2.385106,9.933333,2.543956043956044,4.22,1.67604395604,0.9461334678945377
1999-Q3,1.186702,2.927799,9.7,2.5,5.02333333333,2.52333333333,0.953228266395526
1999-Q4,1.571914,3.990522,9.5,2.8097826086956523,5.29666666667,2.48688405797,0.9632674030310814
2000-Q1,2.00678,4.176498,9.3,3.197802197802198,5.59333333333,2.39553113553,1.0132396649554174
2000-Q2,1.961576,4.470119,9.0,3.7637362637362637,5.41666666667,1.65293040293,1.0709313533002536
2000-Q3,2.24709,3.89964,8.766666,3.3315217391304346,5.43,2.09847826087,1.1059500110595002
2000-Q4,2.519847,3.403902,8.5,3.7364130434782608,5.27666666667,1.54025362319,1.1511895625479662
2001-Q1,2.140104,3.164961,8.3,3.75,4.96,1.21,1.0844418739155581
2001-Q2,2.940788,2.320207,8.3,3.60989010989011,5.17333333333,1.56344322344,1.1446886446886446
2001-Q3,2.434113,1.869819,8.3,3.345108695652174,5.08333333333,1.73822463768,1.1217888793329094
2001-Q4,2.14034,1.224367,8.366667,2.4619565217391304,4.77,2.30804347826,1.117526541255355
2002-Q1,2.563769,0.549823,8.466666,2.25,5.11,2.86,1.1404675917126021
2002-Q2,2.112646,0.910758,8.6,2.25,5.24333333333,2.99333333333,1.0873110796999021
2002-Q3,2.107018,1.231189,8.666667,2.25,4.74333333333,2.49333333333,1.0161913149515616
2002-Q4,2.304187,1.158748,8.8,2.108695652173913,4.53,2.42130434783,0.9993670675239016
2003-Q1,2.309352,0.787487,9.0,1.6805555555555556,4.12,2.43944444444,0.9315612967333251
2003-Q2,1.997738,0.361899,9.033334,1.3626373626373627,3.94,2.57736263736,0.8799718409010912
2003-Q3,2.07191,0.493583,9.1,1,4.15,3.15,0.8879154704472135
2003-Q4,2.094088,1.112672,9.1,1,4.34666666667,3.34666666667,0.8398185991825765
2004-Q1,1.748729,1.90281,9.233334,1,4.13333333333,3.13333333333,0.7991688643810438
2004-Q2,2.324054,2.395578,9.266666,1,4.31666666667,3.31666666667,0.8302200083022
2004-Q3,2.292299,2.181979,9.233334,1,4.18666666667,3.18666666667,0.8178621084485157
2004-Q4,2.34066,1.805375,9.233334,1,3.83,2.83,0.7710100231303008
2005-Q1,2.07216,1.412678,9.2,1,3.64333333333,2.64333333333,0.7629510948348212
2005-Q2,2.042536,1.525917,9.2,1,3.38,2.38,0.7937557878026194
2005-Q3,2.313089,1.958777,9.033334,1,3.24,2.24,0.8203445447087776
2005-Q4,2.358848,2.208371,8.933333,1.0706521739130435,3.40333333333,2.33268115942,0.8409957389549227
2006-Q1,2.344558,2.955097,8.766666,1.3625,3.54333333333,2.18083333333,0.831163074195157
2006-Q2,2.485351,3.378622,8.466666,1.5655737704918034,4.02333333333,2.45775956284,0.7957348611442666
2006-Q3,2.198104,3.261226,8.233334,1.8940217391304348,3.95333333333,2.0593115942,0.78507314264779
2006-Q4,1.802328,3.74522,8.033334,2.2744565217391304,3.83333333333,1.55887681159,0.7749935417204856
2007-Q1,1.89802,3.568649,7.8,2.55,4.08,1.53,0.7629899031002824
2007-Q2,1.910901,3.131457,7.5,2.7994505494505493,4.41,1.61054945055,0.7416196974191634
2007-Q3,1.90929,2.951003,7.466667,3,4.46333333333,1.46333333333,0.7270612185546024
2007-Q4,2.932854,2.403969,7.3,3,4.34,1.34,0.690051753881541
2008-Q1,3.419978,2.138113,7.3,3,4.13,1.13,0.6665629790921412
2008-Q2,3.701194,1.152573,7.433333,3,4.49666666667,1.49666666667,0.6400682739492214
2008-Q3,3.916331,0.13364,7.6,3.2282608695652173,4.55666666667,1.3284057971,0.6658380681818181
2008-Q4,2.347784,-2.137563,8.033334,3.217391304347826,4.04666666667,0.829275362319,0.7590901039953443
2009-Q1,1.011257,-5.505047,9.0,1.9944444444444445,3.89,1.89555555556,0.7674400757207541
2009-Q2,0.2069567,-5.402071,9.6,1.1346153846153846,3.96,2.82538461538,0.7342323600675494
2009-Q3,-0.3620303,-4.592657,9.9,1,3.77333333333,2.77333333333,0.6987631891551953
2009-Q4,0.4282966,-2.393393,10.06667,1,3.65666666667,2.65666666667,0.6770786313983931
2010-Q1,1.107092,1.018227,10.2,1,3.7,2.7,0.7226129684940745
2010-Q2,1.594261,2.252647,10.26667,1,3.6,2.6,0.7852786430385049
2010-Q3,1.718625,2.390602,10.2,1,3.44333333333,2.44333333333,0.772857253265322
2010-Q4,2.02754,2.434164,10.13333,1,3.74333333333,2.74333333333,0.7357268981753974
2011-Q1,2.47904,2.802345,10.0,1,4.30666666667,3.30666666667,0.730869491071211
2011-Q2,2.760441,1.799541,10.0,1.217032967032967,4.49333333333,3.2763003663,0.6944765961387102
2011-Q3,2.707626,1.381202,10.23333,1.4673913043478262,4.27333333333,2.80594202899,0.7082989021367018
2011-Q4,2.943677,0.432824,10.6,1.3070652173913044,4.47666666667,3.16960144928,0.741748052911361
2012-Q1,2.687073,-0.508175,10.9,1,4.26333333333,3.26333333333,0.7622725886777111
2012-Q2,2.460695,-0.815677,11.3,1,4.13666666667,3.13666666667,0.7790791284701484
2012-Q3,2.545821,-1.004341,11.53333,0.7771739130434783,3.86333333333,3.08615942029,0.7985307035055498
2012-Q4,2.305495,-1.099799,11.8,0.75,3.30666666667,2.55666666667,0.7706139224248651
2013-Q1,1.854396,-1.227718,12.03333,0.75,3.04666666667,2.29666666667,0.7574992425007575
2013-Q2,1.398957,-0.442981,12.06667,0.6016483516483516,2.81666666667,2.21501831502,0.7652085193215151
2013-Q3,1.339664,0.04874,12.03333,0.5,3.14,2.64,0.7544133179097721
2013-Q4,0.8072382,0.754524,11.9,0.36684782608695654,2.96333333333,2.59648550725,0.7344840249724568
2014-Q1,0.650708,1.408672,11.86667,0.25,2.65333333333,2.40333333333,0.7297317019775729
2014-Q2,0.561216,1.108741,11.63333,0.2280219780219777,2.22,1.99197802198,0.7291464125996501
2014-Q3,0.3514056,1.194172,11.53333,0.12717391304347858,1.79333333333,1.66615942029,0.7549638875607116
2014-Q4,0.1634914,1.352394,11.43333,0.05,1.49666666667,1.44666666667,0.8004482510205715
2015-Q1,-0.318226,1.763445,11.2,0.05,1.01333333333,0.963333333333,0.8879943168363722
2015-Q2,0.1893499,1.972306,11.06667,0.05,1.27666666667,1.22666666667,0.9032063826584373
2015-Q3,0.09004502,1.872088,10.7,0.05,1.36,1.31,0.8992266650680416
2015-Q4,0.1665556,1.937906,10.5,0.05,1.19,1.14,0.9134088417975886
2016-Q1,0.04368573,1.687752,10.26667,0.04120879120879115,1.04,0.998791208791,0.9068649678062937
2016-Q2,-0.0862069,1.642573,10.16667,0,0.88,0.88,0.8852168781351429
2016-Q3,0.269892,1.771206,9.933333,0,0.61,0.61,0.896057347670251
2016-Q4,0.7382774,1.842427,9.7,0,0.926666666667,0.926666666667,0.9273283669747457
2017-Q1,1.760102,1.90124,9.466666,0,1.20666666667,1.20666666667,0.9382036527395547
2017-Q2,1.516559,,,0,1.09666666667,1.09666666667,0.9091735612328392
