TIME,CPI,GDP,UR,IR Policy Rate,LR10,LR10-IR,Exrate Euro for 1 USD
1998-Q1,1.232687,3.788999,10.5,,,,
1998-Q2,1.481686,2.904354,10.73333,,,,
1998-Q3,1.261294,2.729972,10.56667,,,,
1998-Q4,0.932742,1.836837,10.4,,,,
1999-Q1,0.9029963,2.164858,10.13333,3,3.9733333333,0.9733333333,0.890736342
1999-Q2,1.015689,2.385106,9.933333,2.543956044,4.22,1.676043956,0.9461334679
1999-Q3,1.186702,2.927799,9.7,2.5,5.0233333333,2.5233333333,0.9532282664
1999-Q4,1.571914,3.990522,9.5,2.8097826087,5.2966666667,2.486884058,0.963267403
2000-Q1,2.00678,4.176498,9.3,3.1978021978,5.5933333333,2.3955311355,1.013239665
2000-Q2,1.961576,4.470119,9,3.7637362637,5.4166666667,1.6529304029,1.0709313533
2000-Q3,2.24709,3.89964,8.766666,3.3315217391,5.43,2.0984782609,1.1059500111
2000-Q4,2.519847,3.403902,8.5,3.7364130435,5.2766666667,1.5402536232,1.1511895625
2001-Q1,2.140104,3.164961,8.3,3.75,4.96,1.21,1.0844418739
2001-Q2,2.940788,2.320207,8.3,3.6098901099,5.1733333333,1.5634432234,1.1446886447
2001-Q3,2.434113,1.869819,8.3,3.3451086957,5.0833333333,1.7382246377,1.1217888793
2001-Q4,2.14034,1.224367,8.366667,2.4619565217,4.77,2.3080434783,1.1175265413
2002-Q1,2.563769,0.549823,8.466666,2.25,5.11,2.86,1.1404675917
2002-Q2,2.112646,0.910758,8.6,2.25,5.2433333333,2.9933333333,1.0873110797
2002-Q3,2.107018,1.231189,8.666667,2.25,4.7433333333,2.4933333333,1.016191315
2002-Q4,2.304187,1.158748,8.8,2.1086956522,4.53,2.4213043478,0.9993670675
2003-Q1,2.309352,0.787487,9,1.6805555556,4.12,2.4394444444,0.9315612967
2003-Q2,1.997738,0.361899,9.033334,1.3626373626,3.94,2.5773626374,0.8799718409
2003-Q3,2.07191,0.493583,9.1,1,4.15,3.15,0.8879154704
2003-Q4,2.094088,1.112672,9.1,1,4.3466666667,3.3466666667,0.8398185992
2004-Q1,1.748729,1.90281,9.233334,1,4.1333333333,3.1333333333,0.7991688644
2004-Q2,2.324054,2.395578,9.266666,1,4.3166666667,3.3166666667,0.8302200083
2004-Q3,2.292299,2.181979,9.233334,1,4.1866666667,3.1866666667,0.8178621084
2004-Q4,2.34066,1.805375,9.233334,1,3.83,2.83,0.7710100231
2005-Q1,2.07216,1.412678,9.2,1,3.6433333333,2.6433333333,0.7629510948
2005-Q2,2.042536,1.525917,9.2,1,3.38,2.38,0.7937557878
2005-Q3,2.313089,1.958777,9.033334,1,3.24,2.24,0.8203445447
2005-Q4,2.358848,2.208371,8.933333,1.0706521739,3.4033333333,2.3326811594,0.840995739
2006-Q1,2.344558,2.955097,8.766666,1.3625,3.5433333333,2.1808333333,0.8311630742
2006-Q2,2.485351,3.378622,8.466666,1.5655737705,4.0233333333,2.4577595628,0.7957348611
2006-Q3,2.198104,3.261226,8.233334,1.8940217391,3.9533333333,2.0593115942,0.7850731426
2006-Q4,1.802328,3.74522,8.033334,2.2744565217,3.8333333333,1.5588768116,0.7749935417
2007-Q1,1.89802,3.568649,7.8,2.55,4.08,1.53,0.7629899031
2007-Q2,1.910901,3.131457,7.5,2.7994505495,4.41,1.6105494505,0.7416196974
2007-Q3,1.90929,2.951003,7.466667,3,4.4633333333,1.4633333333,0.7270612186
2007-Q4,2.932854,2.403969,7.3,3,4.34,1.34,0.6900517539
2008-Q1,3.419978,2.138113,7.3,3,4.13,1.13,0.6665629791
2008-Q2,3.701194,1.152573,7.433333,3,4.4966666667,1.4966666667,0.6400682739
2008-Q3,3.916331,0.13364,7.6,3.2282608696,4.5566666667,1.3284057971,0.6658380682
2008-Q4,2.347784,-2.137563,8.033334,3.2173913043,4.0466666667,0.8292753623,0.759090104
2009-Q1,1.011257,-5.505047,9,1.9944444444,3.89,1.8955555556,0.7674400757
2009-Q2,0.2069567,-5.402071,9.6,1.1346153846,3.96,2.8253846154,0.7342323601
2009-Q3,-0.3620303,-4.592657,9.9,1,3.7733333333,2.7733333333,0.6987631892
2009-Q4,0.4282966,-2.393393,10.06667,1,3.6566666667,2.6566666667,0.6770786314
2010-Q1,1.107092,1.018227,10.2,1,3.7,2.7,0.7226129685
2010-Q2,1.594261,2.252647,10.26667,1,3.6,2.6,0.785278643
2010-Q3,1.718625,2.390602,10.2,1,3.4433333333,2.4433333333,0.7728572533
2010-Q4,2.02754,2.434164,10.13333,1,3.7433333333,2.7433333333,0.7357268982
2011-Q1,2.47904,2.802345,10,1,4.3066666667,3.3066666667,0.7308694911
2011-Q2,2.760441,1.799541,10,1.217032967,4.4933333333,3.2763003663,0.6944765961
2011-Q3,2.707626,1.381202,10.23333,1.4673913043,4.2733333333,2.805942029,0.7082989021
2011-Q4,2.943677,0.432824,10.6,1.3070652174,4.4766666667,3.1696014493,0.7417480529
2012-Q1,2.687073,-0.508175,10.9,1,4.2633333333,3.2633333333,0.7622725887
2012-Q2,2.460695,-0.815677,11.3,1,4.1366666667,3.1366666667,0.7790791285
2012-Q3,2.545821,-1.004341,11.53333,0.777173913,3.8633333333,3.0861594203,0.7985307035
2012-Q4,2.305495,-1.099799,11.8,0.75,3.3066666667,2.5566666667,0.7706139224
2013-Q1,1.854396,-1.227718,12.03333,0.75,3.0466666667,2.2966666667,0.7574992425
2013-Q2,1.398957,-0.442981,12.06667,0.6016483516,2.8166666667,2.215018315,0.7652085193
2013-Q3,1.339664,0.04874,12.03333,0.5,3.14,2.64,0.7544133179
2013-Q4,0.8072382,0.754524,11.9,0.3668478261,2.9633333333,2.5964855072,0.734484025
2014-Q1,0.650708,1.408672,11.86667,0.25,2.6533333333,2.4033333333,0.729731702
2014-Q2,0.561216,1.108741,11.63333,0.228021978,2.22,1.991978022,0.7291464126
2014-Q3,0.3514056,1.194172,11.53333,0.127173913,1.7933333333,1.6661594203,0.7549638876
2014-Q4,0.1634914,1.352394,11.43333,0.05,1.4966666667,1.4466666667,0.800448251
2015-Q1,-0.318226,1.763445,11.2,0.05,1.0133333333,0.9633333333,0.8879943168
2015-Q2,0.1893499,1.972306,11.06667,0.05,1.2766666667,1.2266666667,0.9032063827
2015-Q3,0.09004502,1.872088,10.7,0.05,1.36,1.31,0.8992266651
2015-Q4,0.1665556,1.937906,10.5,0.05,1.19,1.14,0.9134088418
2016-Q1,0.04368573,1.687752,10.26667,0.0412087912,1.04,0.9987912088,0.9068649678
2016-Q2,-0.0862069,1.642573,10.16667,0,0.88,0.88,0.8852168781
2016-Q3,0.269892,1.771206,9.933333,0,0.61,0.61,0.8960573477
2016-Q4,0.7382774,1.842427,9.7,0,0.9266666667,0.9266666667,0.927328367
2017-Q1,1.760102,1.90124,9.466666,0,1.2066666667,1.2066666667,0.9382036527
2017-Q2,1.516559,,,0,1.0966666667,1.0966666667,0.9091735612
