TIME,CPI,GDP,UR,IR FEDFUNDS,LR10 - IR,IR10 premium, Exrate USD to 1 Euro
1998-Q1,1.462294,4.62346,4.633333,,,,
1998-Q2,1.602164,4.067661,4.4,,,,
1998-Q3,1.595855,4.104639,4.533333,,,,
1998-Q4,1.548307,4.998974,4.433333,,,,
1999-Q1,1.667696,4.800728,4.3,4.73,4.9833333333,0.25,1.1226666667
1999-Q2,2.109359,4.649637,4.266667,4.7466666667,5.54,0.7933333333,1.0569333333
1999-Q3,2.345981,4.598207,4.233333,5.0933333333,5.8833333333,0.79,1.0490666667
1999-Q4,2.622484,4.694708,4.066667,5.3066666667,6.14,0.8333333333,1.0381333333
2000-Q1,3.240178,4.166983,4.033333,5.6766666667,6.48,0.8033333333,0.9869333333
2000-Q2,3.329322,5.266458,3.933333,6.2733333333,6.1766666667,-0.0966666667,0.9337666667
2000-Q3,3.508073,4.083183,4,6.52,5.8933333333,-0.6266666667,0.9042
2000-Q4,3.4271,2.888837,3.9,6.4733333333,5.5666666667,-0.9066666667,0.8686666667
2001-Q1,3.393488,2.29952,4.233333,5.5933333333,5.05,-0.5433333333,0.9221333333
2001-Q2,3.377329,0.935477,4.4,4.3266666667,5.27,0.9433333333,0.8736
2001-Q3,2.695937,0.494936,4.833333,3.4966666667,4.98,1.4833333333,0.8914333333
2001-Q4,1.857882,0.205059,5.5,2.1333333333,4.77,2.6366666667,0.8948333333
2002-Q1,1.252134,1.41577,5.7,1.7333333333,5.0766666667,3.3433333333,0.8768333333
2002-Q2,1.295531,1.437417,5.833333,1.75,5.1,3.35,0.9197
2002-Q3,1.59385,2.254915,5.733333,1.74,4.26,2.52,0.9840666667
2002-Q4,2.200075,2.036158,5.866667,1.4433333333,4.0066666667,2.5633333333,1.0006333333
2003-Q1,2.866779,1.629193,5.866667,1.25,3.92,2.67,1.0734666667
2003-Q2,2.131603,2.009618,6.133333,1.2466666667,3.62,2.3733333333,1.1364
2003-Q3,2.196383,3.215548,6.133333,1.0166666667,4.2333333333,3.2166666667,1.1262333333
2003-Q4,1.895124,4.355909,5.833333,0.9966666667,4.2866666667,3.29,1.1907333333
2004-Q1,1.785064,4.414789,5.7,1.0033333333,4.02,3.0166666667,1.2513
2004-Q2,2.867514,4.213015,5.6,1.01,4.6,3.59,1.2045
2004-Q3,2.727108,3.427956,5.433333,1.4333333333,4.3033333333,2.87,1.2227
2004-Q4,3.322499,3.117077,5.433333,1.95,4.1733333333,2.2233333333,1.297
2005-Q1,3.042233,3.620329,5.3,2.47,4.2966666667,1.8266666667,1.3107
2005-Q2,2.946366,3.403569,5.1,2.9433333333,4.16,1.2166666667,1.2598333333
2005-Q3,3.83263,3.333141,4.966667,3.46,4.2133333333,0.7533333333,1.219
2005-Q4,3.739951,3.032171,4.966667,3.98,4.49,0.51,1.1890666667
2006-Q1,3.6471,3.170415,4.733333,4.4566666667,4.57,0.1133333333,1.2031333333
2006-Q2,4.010283,2.941571,4.633333,4.9066666667,5.07,0.1633333333,1.2567
2006-Q3,3.335591,2.174674,4.633333,5.2466666667,4.8966666667,-0.35,1.2737666667
2006-Q4,1.937332,2.389831,4.433333,5.2466666667,4.63,-0.6166666667,1.2903333333
2007-Q1,2.424095,1.236758,4.5,5.2566666667,4.68,-0.5766666667,1.3106333333
2007-Q2,2.650684,1.707381,4.5,5.25,4.8466666667,-0.4033333333,1.3484
2007-Q3,2.360478,2.300275,4.666667,5.0733333333,4.73,-0.3433333333,1.3754
2007-Q4,3.974384,1.867921,4.8,4.4966666667,4.26,-0.2366666667,1.4491666667
2008-Q1,4.095428,1.110281,5,3.1766666667,3.6633333333,0.4866666667,1.5002333333
2008-Q2,4.379385,0.84037,5.333333,2.0866666667,3.8866666667,1.8,1.5623333333
2008-Q3,5.302814,-0.313954,6,1.94,3.8633333333,1.9233333333,1.5018666667
2008-Q4,1.601687,-2.766846,6.866667,0.5066666667,3.2533333333,2.7466666667,1.3173666667
2009-Q1,-0.04023253,-3.455455,8.266666,0.1833333333,2.7366666667,2.5533333333,1.3030333333
2009-Q2,-1.150445,-4.061911,9.3,0.18,3.3133333333,3.1333333333,1.3619666667
2009-Q3,-1.62336,-3.284402,9.633333,0.1566666667,3.5166666667,3.36,1.4311
2009-Q4,1.443934,-0.24079,9.933333,0.12,3.46,3.34,1.4769333333
2010-Q1,2.360525,1.598609,9.833333,0.1333333333,3.7166666667,3.5833333333,1.3838666667
2010-Q2,1.767765,2.7188,9.633333,0.1933333333,3.49,3.2966666667,1.2734333333
2010-Q3,1.175609,3.075855,9.466666,0.1866666667,2.7866666667,2.6,1.2939
2010-Q4,1.270248,2.73073,9.5,0.1866666667,2.8633333333,2.6766666667,1.3592
2011-Q1,2.141127,1.893213,9.033334,0.1566666667,3.46,3.3033333333,1.3682333333
2011-Q2,3.430395,1.652663,9.066667,0.0933333333,3.21,3.1166666667,1.4399333333
2011-Q3,3.756174,1.18285,9,0.0833333333,2.4266666667,2.3433333333,1.4118333333
2011-Q4,3.293777,1.682174,8.633333,0.0733333333,2.0466666667,1.9733333333,1.3481666667
2012-Q1,2.815192,2.75312,8.266666,0.1033333333,2.0366666667,1.9333333333,1.3118666667
2012-Q2,1.889765,2.487058,8.2,0.1533333333,1.8233333333,1.67,1.2835666667
2012-Q3,1.697784,2.394632,8.033334,0.1433333333,1.6433333333,1.5,1.2523
2012-Q4,1.889365,1.277131,7.8,0.16,1.7066666667,1.5466666667,1.2976666667
2013-Q1,1.681829,1.313845,7.733333,0.1433333333,1.95,1.8066666667,1.3201333333
2013-Q2,1.39285,1.036296,7.533333,0.1166666667,1.9966666667,1.88,1.3068333333
2013-Q3,1.553359,1.69367,7.266667,0.0833333333,2.71,2.6266666667,1.3255333333
2013-Q4,1.233471,2.662455,6.933333,0.0866666667,2.7466666667,2.66,1.3615
2014-Q1,1.405456,1.646667,6.666667,0.0733333333,2.7633333333,2.69,1.3703666667
2014-Q2,2.050846,2.443047,6.2,0.0933333333,2.6233333333,2.53,1.3714666667
2014-Q3,1.783154,2.897457,6.1,0.09,2.4966666667,2.4066666667,1.3245666667
2014-Q4,1.248028,2.487036,5.7,0.1,2.28,2.18,1.2493
2015-Q1,-0.06269593,3.314917,5.533333,0.11,1.9666666667,1.8566666667,1.1261333333
2015-Q2,-0.03827201,2.977209,5.4,0.1233333333,2.1666666667,2.0433333333,1.1071666667
